name,symbol,current_price,market_cap,price_change_percentage_24h,roi.percentage
Bitcoin,btc,63682.0,1278039036247,1.3,0.0
Ethereum,eth,1864.09,224977189010,0.9,3813.3517473485067
Tether,usdt,0.998946,183213749085,0.0,0.0
BNB,bnb,591.28,78747121175,1.1,0.0
USDC,usdc,0.999484,71864946623,0.0,0.0
XRP,xrp,1.081,67587001032,0.1,0.0
Solana,sol,73.57,42760568342,1.0,0.0
TRON,trx,0.329176,31237087088,0.2,17218.956091242115
Figure Heloc,figr_heloc,1.048,21787958593,3.9,0.0
WhiteBIT Coin,wbt,55.21,16236149301,1.0,0.0
Hyperliquid,hype,54.08,12031922850,4.9,0.0
Dogecoin,doge,0.070337,10928438742,0.3,0.0
USDS,usds,0.9999,9712251552,0.0,0.0
LEO Token,leo,9.75,8969767183,-0.1,0.0
Rain,rain,0.01273476,8845221306,0.3,0.0
Zcash,zec,489.0,8206979322,4.1,0.0
Cardano,ada,0.193392,7217661039,0.7,0.0
Monero,xmr,361.94,6798483195,-0.4,0.0
Chainlink,link,8.26,6179232320,0.2,0.0
Stellar,xlm,0.17151,5878263216,-1.2,0.0
Dai,dai,0.999917,4586016933,0.0,0.0
Canton,cc,0.114727,4502683790,-1.6,0.0
Bitcoin Cash,bch,210.74,4230837134,-0.5,0.0
USD1,usd1,0.999008,3992586153,0.0,0.0
Gram (prev. Toncoin),gram,1.41,3855939060,0.0,0.0
Ethena USDe,usde,0.999478,3854500020,0.0,0.0
Litecoin,ltc,44.36,3435722262,-0.5,0.0
Global Dollar,usdg,0.999711,3417537947,0.0,0.0
Hedera,hbar,0.069762,3055493983,-1.0,0.0
Circle USYC,usyc,1.13,3006074389,0.0,0.0
Shiba Inu,shib,4.89e-06,2882567098,-1.8,0.0
Sui,sui,0.693847,2827030557,1.1,0.0
Avalanche,avax,6.53,2819547232,-0.9,0.0
PayPal USD,pyusd,0.999602,2711722695,0.0,0.0
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2702712403,0.0,0.0
Cronos,cro,0.054682,2587303941,0.8,0.0
Uniswap,uni,4.02,2515300216,-3.5,0.0
Tether Gold,xaut,4023.99,2466252619,-0.5,0.0
NEAR Protocol,near,1.74,2272015953,2.8,0.0
Ondo US Dollar Yield,usdy,1.14,2149023581,0.0,0.0
Ondo,ondo,0.375664,1828995552,-1.8,0.0
Bittensor,tao,189.53,1818996530,-1.5,0.0
OKB,okb,85.87,1803382116,-1.1,0.0
PAX Gold,paxg,4033.03,1782528770,-0.5,0.0
World Liberty Financial,wlfi,0.054387,1726869826,-3.0,0.0
Aster,aster,0.60248,1619774162,-0.2,0.0
HTX DAO,htx,1.8e-06,1613007738,-0.1,0.0
USDD,usdd,0.997524,1572324380,0.0,0.0
MemeCore,m,1.16,1548368827,-1.1,0.0
Aave,aave,93.5,1442367954,3.0,0.0
