name,symbol,current_price,market_cap,price_change_percentage_24h,roi.percentage
Bitcoin,btc,63787.0,1279945401921,1.1,0.0
Ethereum,eth,1867.37,225372434823,0.5,3814.810576968924
Tether,usdt,0.999072,183245238024,0.0,0.0
BNB,bnb,592.69,78950534207,1.0,0.0
USDC,usdc,0.999507,71914817180,0.0,0.0
XRP,xrp,1.082,67635127759,0.3,0.0
Solana,sol,73.54,42741459486,0.6,0.0
TRON,trx,0.329177,31233291081,0.6,17222.066591553183
Figure Heloc,figr_heloc,1.017,21159261972,2.0,0.0
WhiteBIT Coin,wbt,55.3,16254497579,0.7,0.0
Hyperliquid,hype,54.52,12126999574,6.2,0.0
Dogecoin,doge,0.07035,10927186271,0.2,0.0
USDS,usds,1.0,9717187051,0.0,0.0
LEO Token,leo,9.75,8970673920,-0.2,0.0
Rain,rain,0.01271664,8832563080,0.4,0.0
Zcash,zec,491.67,8255268350,4.4,0.0
Cardano,ada,0.192064,7174134077,1.2,0.0
Monero,xmr,362.48,6808232278,-0.1,0.0
Chainlink,link,8.25,6169435353,-0.2,0.0
Stellar,xlm,0.171455,5876637421,-1.4,0.0
Dai,dai,0.999972,4588584172,0.0,0.0
Canton,cc,0.113925,4471246557,-2.3,0.0
Bitcoin Cash,bch,212.74,4271283043,-0.3,0.0
USD1,usd1,0.999197,3993499127,0.0,0.0
Gram (prev. Toncoin),gram,1.41,3858986139,-0.2,0.0
Ethena USDe,usde,0.999506,3854665416,0.0,0.0
Litecoin,ltc,44.24,3426115709,-1.1,0.0
Global Dollar,usdg,0.999129,3416933921,0.0,0.0
Hedera,hbar,0.07028,3077747569,0.2,0.0
Circle USYC,usyc,1.13,3006074389,0.0,0.0
Shiba Inu,shib,5e-06,2942393814,0.5,0.0
Sui,sui,0.695512,2834108645,0.8,0.0
Avalanche,avax,6.52,2817826389,-0.9,0.0
PayPal USD,pyusd,0.999764,2712304758,0.0,0.0
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2703484373,0.0,0.0
Cronos,cro,0.054582,2581891271,0.1,0.0
Tether Gold,xaut,4022.16,2464947886,-0.5,0.0
Uniswap,uni,3.92,2446346859,-6.9,0.0
NEAR Protocol,near,1.75,2276237936,3.3,0.0
Ondo US Dollar Yield,usdy,1.14,2149545639,0.0,0.0
Ondo,ondo,0.375804,1829767642,-1.8,0.0
Bittensor,tao,190.64,1828843249,-0.9,0.0
OKB,okb,85.95,1805089346,-0.2,0.0
PAX Gold,paxg,4030.76,1781446973,-0.6,0.0
World Liberty Financial,wlfi,0.054942,1747184749,-1.1,0.0
Aster,aster,0.602246,1618854748,-0.3,0.0
HTX DAO,htx,1.8e-06,1615265491,0.4,0.0
USDD,usdd,0.997875,1576220492,0.0,0.0
Ripple USD,rlusd,1.0,1555973983,0.0,0.0
MemeCore,m,1.16,1544674699,-0.6,0.0
